GB	FGN
GB43299	NA
GB43300	FBgn0263396
GB43301	FBgn0015778
GB43302	FBgn0026562
GB43303	FBgn0001197
GB43304	FBgn0037963
GB43305	NA
GB43306	NA
GB43307	NA
GB43308	NA
GB43309	NA
GB43310	FBgn0029848
GB43311	FBgn0029848
GB43312	NA
GB43313	NA
GB43314	NA
GB43315	FBgn0261792
GB43316	NA
GB43320	FBgn0050423
GB43321	NA
GB43323	NA
GB43324	NA
GB43325	NA
GB43326	NA
GB43327	NA
GB43328	NA
GB43329	NA
GB43331	NA
GB43332	NA
GB43333	NA
GB43334	NA
GB43335	NA
GB43336	NA
GB43337	NA
GB43338	FBgn0020251
GB43341	NA
GB43343	NA
GB43352	NA
GB43353	FBgn0035490
GB43354	NA
GB43358	FBgn0026718
GB43359	NA
GB43360	FBgn0026718
GB43361	NA
GB43362	FBgn0026718
GB43363	NA
GB43365	FBgn0028997
GB43366	NA
GB43367	NA
GB43368	FBgn0032399
GB43369	NA
GB43374	NA
GB43375	FBgn0040324
GB43376	FBgn0038655
GB43377	NA
GB43378	NA
GB43379	FBgn0033656
GB43380	NA
GB43381	NA
GB43382	NA
GB43383	NA
GB43384	NA
GB43385	NA
GB43388	FBgn0013347
GB43389	FBgn0037911
GB43390	FBgn0033899
GB43391	NA
GB43392	FBgn0261436
GB43393	FBgn0053505
GB43394	NA
GB43399	NA
GB43401	FBgn0259481
GB43402	NA
GB43403	FBgn0030054
GB43404	FBgn0036348
GB43405	NA
GB43406	NA
GB43407	FBgn0042650
GB43408	NA
GB43409	FBgn0025679
GB43410	NA
GB43411	FBgn0259824
GB43412	FBgn0037023
GB43415	NA
GB43416	FBgn0028875
GB43417	FBgn0036648
GB43418	NA
GB43419	FBgn0031092
GB43420	FBgn0261109
GB43421	FBgn0020767
GB43422	NA
GB43423	NA
GB43424	NA
GB43425	NA
GB43426	NA
GB43427	FBgn0025777
GB43429	FBgn0029079
GB43431	NA
GB43433	NA
GB43434	NA
GB43435	NA
GB43436	FBgn0025335
GB43437	FBgn0031631
GB43438	FBgn0033471
GB43439	FBgn0032499
GB43440	FBgn0052039
GB43441	FBgn0004380
GB43442	FBgn0037898
GB43443	FBgn0037881
GB43444	NA
GB43446	FBgn0040505
GB43447	NA
GB43448	FBgn0012051
GB43449	FBgn0035827
GB43450	NA
GB43451	NA
GB43453	FBgn0085376
GB43454	NA
GB43455	NA
GB43456	FBgn0004364
GB43458	NA
GB43459	FBgn0003862
GB43460	NA
GB43461	NA
GB43462	NA
GB43463	FBgn0261004
GB43464	FBgn0032864
GB43465	NA
GB43466	NA
GB43467	FBgn0032796
GB43468	FBgn0000273
GB43469	NA
GB43470	FBgn0029992
GB43471	FBgn0053096
GB43472	NA
GB43474	NA
GB43475	NA
GB43476	NA
GB43477	NA
GB43478	FBgn0011769
GB43479	FBgn0004597
GB43480	FBgn0024698
GB43481	FBgn0034481
GB43482	FBgn0019644
GB43483	FBgn0039188
GB43484	NA
GB43485	FBgn0036484
GB43486	NA
GB43487	FBgn0015553
GB43488	NA
GB43489	NA
GB43490	NA
GB43491	NA
GB43492	NA
GB43494	NA
GB43495	FBgn0043799
GB43496	NA
GB43497	FBgn0262509
GB43498	NA
GB43499	NA
GB43500	NA
GB43501	NA
GB43502	FBgn0037467
GB43503	NA
GB43504	FBgn0001257
GB43505	FBgn0050499
GB43506	FBgn0032847
GB43507	FBgn0016672
GB43508	FBgn0032029
GB43509	FBgn0032029
GB43510	FBgn0032029
GB43511	FBgn0032029
GB43512	FBgn0032029
GB43513	FBgn0032029
GB43514	FBgn0032029
GB43515	FBgn0030828
GB43516	NA
GB43517	NA
GB43518	NA
GB43519	FBgn0004842
GB43520	FBgn0020018
GB43521	FBgn0033473
GB43523	FBgn0033550
GB43526	FBgn0001296
GB43527	NA
GB43529	NA
GB43533	NA
GB43534	NA
GB43535	NA
GB43536	NA
GB43537	FBgn0033907
GB43538	NA
GB43539	NA
GB43540	NA
GB43541	NA
GB43542	NA
GB43543	FBgn0024963
GB43544	FBgn0033571
GB43545	NA
GB43546	FBgn0030328
GB43547	NA
GB43548	FBgn0003517
GB43549	FBgn0004108
GB43551	NA
GB43552	NA
GB43553	FBgn0023169
GB43554	FBgn0024811
GB43555	NA
GB43556	FBgn0039972
GB43558	NA
GB43559	FBgn0020910
GB43560	FBgn0044048
GB43561	NA
GB43562	FBgn0039338
GB43563	FBgn0004620
GB43564	NA
GB43565	FBgn0036180
GB43566	NA
GB43567	NA
GB43568	NA
GB43569	NA
GB43570	NA
GB43571	FBgn0000326
GB43572	FBgn0000326
GB43573	NA
GB43574	FBgn0028961
GB43575	FBgn0003748
GB43576	NA
GB43577	NA
GB43578	NA
GB43579	NA
GB43580	NA
GB43581	FBgn0036945
GB43582	NA
GB43583	NA
GB43584	NA
GB43585	NA
GB43586	NA
GB43587	NA
GB43588	NA
GB43589	NA
GB43590	NA
GB43591	FBgn0024184
GB43592	NA
GB43593	NA
GB43594	NA
GB43595	NA
GB43596	NA
GB43597	NA
GB43598	FBgn0034546
GB43599	NA
GB43600	NA
GB43601	NA
GB43602	FBgn0052082
GB43603	NA
GB43604	NA
GB43605	NA
GB43606	NA
GB43607	NA
GB43608	NA
GB43609	NA
GB43610	NA
GB43611	FBgn0263705
GB43612	NA
GB43613	NA
GB43614	NA
GB43615	NA
GB43616	NA
GB43617	FBgn0038467
GB43618	FBgn0010100
GB43619	FBgn0038342
GB43621	FBgn0064123
GB43622	FBgn0039634
GB43623	FBgn0003261
GB43624	NA
GB43625	FBgn0036889
GB43626	FBgn0027490
GB43627	NA
GB43628	FBgn0035445
GB43629	FBgn0021967
GB43630	NA
GB43631	FBgn0027279
GB43632	NA
GB43633	FBgn0030545
GB43634	FBgn0019830
GB43635	FBgn0034035
GB43636	FBgn0020312
GB43637	FBgn0020407
GB43638	FBgn0004638
GB43639	NA
GB43640	FBgn0052365
GB43641	NA
GB43642	NA
GB43643	FBgn0016694
GB43645	NA
GB43647	NA
GB43654	NA
GB43655	NA
GB43656	NA
GB43657	NA
GB43658	NA
GB43659	NA
GB43660	FBgn0003380
GB43661	NA
GB43662	NA
GB43663	NA
GB43664	FBgn0002862
GB43665	FBgn0002862
GB43666	FBgn0005677
GB43668	NA
GB43672	NA
GB43676	FBgn0003317
GB43677	NA
GB43679	NA
GB43681	NA
GB43683	NA
GB43684	FBgn0030778
GB43685	NA
GB43686	FBgn0039305
GB43687	NA
GB43688	NA
GB43689	NA
GB43690	NA
GB43691	FBgn0031918
GB43692	FBgn0034963
GB43693	FBgn0001992
GB43694	FBgn0031157
GB43696	NA
GB43697	FBgn0034707
GB43699	NA
GB43700	NA
GB43701	FBgn0259935
GB43702	NA
GB43703	FBgn0038833
GB43704	FBgn0027493
GB43705	NA
GB43706	FBgn0033883
GB43707	FBgn0016983
GB43708	FBgn0015221
GB43709	FBgn0034071
GB43710	FBgn0000473
GB43711	FBgn0000473
GB43712	FBgn0034071
GB43713	FBgn0000473
GB43714	NA
GB43715	FBgn0000473
GB43716	FBgn0000473
GB43717	NA
GB43718	NA
GB43719	FBgn0029105
GB43721	NA
GB43722	FBgn0085428
GB43724	NA
GB43725	NA
GB43726	NA
GB43727	FBgn0000473
GB43728	FBgn0000473
GB43729	FBgn0035761
GB43730	FBgn0003416
GB43731	FBgn0015222
GB43732	FBgn0000147
GB43733	FBgn0030247
GB43734	NA
GB43735	FBgn0033685
GB43736	FBgn0032689
GB43737	NA
GB43738	FBgn0033367
GB43739	NA
GB43740	NA
GB43741	NA
GB43742	FBgn0035631
GB43743	FBgn0022153
GB43745	NA
GB43747	FBgn0042085
GB43749	NA
GB43750	FBgn0038976
GB43751	FBgn0039704
GB43752	NA
GB43753	NA
GB43754	NA
GB43755	FBgn0039705
GB43756	NA
GB43757	NA
GB43758	NA
GB43759	NA
GB43760	NA
GB43761	FBgn0039584
GB43767	NA
GB43768	FBgn0037410
GB43769	FBgn0037411
GB43770	FBgn0031782
GB43771	FBgn0050085
GB43772	FBgn0035092
GB43773	NA
GB43774	NA
GB43775	NA
GB43776	NA
GB43777	NA
GB43778	FBgn0002609
GB43779	NA
GB43780	FBgn0035567
GB43781	FBgn0035567
GB43782	FBgn0027607
GB43783	NA
GB43784	NA
GB43785	NA
GB43786	FBgn0039928
GB43787	NA
GB43788	FBgn0002609
GB43789	FBgn0026147
GB43790	FBgn0026147
GB43791	NA
GB43792	FBgn0001147
GB43793	NA
GB43794	FBgn0001147
GB43795	NA
GB43796	NA
GB43797	NA
GB43798	FBgn0000542
GB43799	NA
GB43800	NA
GB43801	NA
GB43802	NA
GB43803	NA
GB43805	FBgn0027570
GB43806	NA
GB43808	FBgn0036237
GB43809	NA
GB43811	NA
GB43812	FBgn0035192
GB43813	FBgn0033257
GB43814	NA
GB43815	FBgn0035335
GB43816	FBgn0030823
GB43817	FBgn0034568
GB43818	FBgn0030745
GB43819	FBgn0033191
GB43820	FBgn0030121
GB43822	FBgn0051460
GB43823	NA
GB43824	FBgn0039681
GB43825	FBgn0029093
GB43826	FBgn0025469
GB43827	FBgn0025790
GB43828	NA
GB43829	NA
GB43830	NA
GB43831	FBgn0031069
GB43832	NA
GB43833	NA
GB43834	FBgn0034181
GB43835	NA
GB43836	FBgn0029891
GB43837	NA
GB43838	NA
GB43839	FBgn0025633
GB43840	NA
GB43841	FBgn0024987
GB43843	FBgn0034455
GB43844	FBgn0033000
GB43845	NA
GB43846	FBgn0037754
GB43847	FBgn0000504
GB43848	FBgn0030944
GB43849	NA
GB43850	NA
GB43851	FBgn0032627
GB43852	FBgn0038571
GB43854	NA
GB43855	FBgn0025724
GB43856	FBgn0033918
GB43857	FBgn0261532
GB43858	NA
GB43859	NA
GB43860	FBgn0031052
GB43861	FBgn0036336
GB43862	NA
GB43863	FBgn0030699
GB43867	NA
GB43868	FBgn0030990
GB43869	NA
GB43870	FBgn0261451
GB43871	NA
GB43872	FBgn0032681
GB43873	FBgn0031036
GB43874	FBgn0020261
GB43875	FBgn0051800
GB43876	NA
GB43877	FBgn0034882
GB43879	FBgn0034882
GB43880	NA
GB43881	NA
GB43882	FBgn0011740
GB43883	FBgn0036850
GB43884	FBgn0031252
GB43885	FBgn0032627
GB43886	NA
GB43887	FBgn0032627
GB43888	FBgn0037657
GB43889	FBgn0001330
GB43890	FBgn0033431
GB43891	FBgn0037660
GB43892	FBgn0032945
GB43894	FBgn0025825
GB43895	NA
GB43897	NA
GB43898	NA
GB43899	FBgn0086442
GB43900	FBgn0036210
GB43901	FBgn0030170
GB43902	FBgn0032922
GB43903	FBgn0011760
GB43904	NA
GB43905	FBgn0034936
GB43906	FBgn0086372
GB43908	FBgn0038347
GB43909	FBgn0259214
GB43910	NA
GB43911	NA
GB43912	FBgn0032217
GB43913	FBgn0036208
GB43914	FBgn0015765
GB43915	NA
GB43916	NA
GB43917	NA
GB43919	NA
GB43920	FBgn0034958
GB43921	FBgn0052486
GB43922	NA
GB43923	NA
GB43924	NA
GB43932	FBgn0032506
GB43934	NA
GB43935	FBgn0032685
GB43936	NA
GB43937	NA
GB43938	FBgn0030839
GB43939	NA
GB43940	NA
GB43941	NA
GB43942	FBgn0035726
GB43943	NA
GB43944	NA
GB43945	NA
GB43946	NA
GB43947	NA
GB43948	NA
GB43949	NA
GB43951	FBgn0029873
GB43952	FBgn0030915
GB43953	FBgn0023094
GB43954	NA
GB43955	NA
GB43956	NA
GB43957	NA
GB43958	NA
GB43959	NA
GB43960	NA
GB43962	NA
GB43963	FBgn0022800
GB43964	FBgn0019662
GB43965	NA
GB43966	NA
GB43968	FBgn0042092
GB43969	NA
GB43971	NA
GB43972	NA
GB43974	NA
GB43975	NA
GB43976	NA
GB43977	NA
GB43978	NA
GB43980	FBgn0030812
GB43981	NA
GB43982	NA
GB43983	FBgn0030617
GB43984	FBgn0030890
GB43985	NA
GB43986	NA
GB43988	NA
GB43989	FBgn0034876
GB43990	FBgn0032261
GB43991	FBgn0031196
GB43992	NA
GB43996	NA
GB43997	NA
GB43998	NA
GB43999	FBgn0038570
GB44000	FBgn0040283
GB44001	NA
GB44002	NA
GB44003	NA
GB44004	NA
GB44005	FBgn0034490
GB44006	NA
GB44007	NA
GB44008	FBgn0030330
GB44009	FBgn0037332
GB44010	NA
GB44011	FBgn0039013
GB44012	FBgn0052442
GB44013	NA
GB44014	NA
GB44015	NA
GB44016	FBgn0022238
GB44017	NA
GB44018	FBgn0085419
GB44019	NA
GB44020	FBgn0021953
GB44021	FBgn0034733
GB44022	FBgn0030733
GB44024	NA
GB44026	NA
GB44027	FBgn0032017
GB44028	FBgn0034708
GB44029	NA
GB44030	FBgn0031384
GB44031	FBgn0260632
GB44032	NA
GB44033	FBgn0031980
GB44034	NA
GB44035	FBgn0031456
GB44037	FBgn0015075
GB44038	NA
GB44039	FBgn0262782
GB44040	NA
GB44041	NA
GB44042	NA
GB44043	FBgn0028841
GB44044	FBgn0031550
GB44045	FBgn0002939
GB44046	NA
GB44047	NA
GB44048	FBgn0032398
GB44049	FBgn0016983
GB44050	NA
GB44051	NA
GB44052	FBgn0036036
GB44053	NA
GB44054	FBgn0035194
GB44055	FBgn0000250
GB44056	FBgn0024352
GB44058	FBgn0015663
GB44059	FBgn0032799
GB44060	FBgn0032800
GB44061	FBgn0261241
GB44062	FBgn0000723
GB44063	FBgn0038369
GB44064	NA
GB44065	FBgn0036414
GB44066	FBgn0033623
GB44067	FBgn0051729
GB44068	FBgn0013432
GB44069	FBgn0031106
GB44070	FBgn0031517
GB44071	FBgn0031284
GB44072	FBgn0051721
GB44073	NA
GB44074	FBgn0003887
GB44075	NA
GB44076	NA
GB44077	FBgn0036291
GB44078	NA
GB44079	FBgn0031885
GB44080	FBgn0086768
GB44081	FBgn0035674
GB44082	FBgn0032409
GB44083	FBgn0010750
GB44084	NA
GB44085	FBgn0040513
GB44086	FBgn0034037
GB44089	NA
GB44090	NA
GB44091	FBgn0013733
GB44092	FBgn0016920
GB44093	NA
GB44095	NA
GB44096	FBgn0032454
GB44097	NA
GB44098	FBgn0031976
GB44099	FBgn0263079
GB44100	NA
GB44101	FBgn0032694
GB44102	NA
GB44103	FBgn0027525
GB44104	FBgn0026753
GB44105	NA
GB44106	NA
GB44107	NA
GB44108	FBgn0034446
GB44109	FBgn0019948
GB44110	NA
GB44111	NA
GB44112	NA
GB44113	FBgn0260972
GB44114	NA
GB44115	NA
GB44116	FBgn0031703
GB44117	FBgn0000547
GB44118	NA
GB44119	FBgn0000256
GB44120	NA
GB44121	FBgn0262476
GB44122	FBgn0050502
GB44123	FBgn0029137
GB44124	FBgn0031250
GB44125	FBgn0086130
GB44126	NA
GB44127	NA
GB44128	FBgn0250903
GB44129	NA
GB44130	FBgn0033169
GB44131	FBgn0027936
GB44132	FBgn0038974
GB44133	FBgn0003887
GB44134	FBgn0003887
GB44135	NA
GB44136	FBgn0021814
GB44138	FBgn0032729
GB44139	FBgn0032857
GB44140	FBgn0031287
GB44141	FBgn0086768
GB44142	NA
GB44143	NA
GB44144	FBgn0020766
GB44145	NA
GB44146	FBgn0034709
GB44147	FBgn0028697
GB44148	FBgn0039229
GB44149	FBgn0038727
GB44150	NA
GB44151	NA
GB44152	FBgn0039726
GB44153	FBgn0052230
GB44154	FBgn0261285
GB44155	FBgn0039728
GB44156	FBgn0026079
GB44157	FBgn0033159
GB44158	NA
GB44159	FBgn0033159
GB44160	FBgn0032293
GB44161	NA
GB44162	NA
GB44163	FBgn0028481
GB44164	NA
GB44165	FBgn0001995
GB44166	NA
GB44167	NA
GB44168	NA
GB44169	NA
GB44170	FBgn0032446
GB44171	FBgn0016041
GB44172	FBgn0045862
GB44173	FBgn0243513
GB44174	FBgn0004611
GB44175	FBgn0010434
GB44176	FBgn0025830
GB44177	FBgn0011648
GB44178	NA
GB44179	NA
GB44180	NA
GB44181	NA
GB44183	FBgn0032208
GB44184	FBgn0035195
GB44185	NA
GB44186	FBgn0001123
GB44187	FBgn0028387
GB44188	FBgn0031979
GB44189	NA
GB44190	NA
GB44191	NA
GB44192	NA
GB44193	FBgn0032018
GB44194	NA
GB44195	NA
GB44196	NA
GB44197	FBgn0031955
GB44198	FBgn0026403
GB44199	FBgn0052635
GB44200	NA
GB44201	NA
GB44202	NA
GB44203	FBgn0037465
GB44204	FBgn0005638
GB44205	FBgn0029134
GB44206	FBgn0033624
GB44207	FBgn0052703
GB44208	FBgn0038617
GB44209	FBgn0037537
GB44210	FBgn0037240
GB44211	FBgn0029118
GB44212	NA
GB44213	FBgn0014141
GB44214	FBgn0014141
GB44215	NA
GB44216	FBgn0019985
GB44218	FBgn0011747
GB44219	NA
GB44220	NA
GB44221	FBgn0032925
GB44222	FBgn0039897
GB44223	FBgn0027611
GB44224	NA
GB44225	FBgn0037934
GB44227	NA
GB44228	NA
GB44229	FBgn0003430
GB44230	NA
GB44231	FBgn0262029
GB44232	FBgn0034214
GB44233	NA
GB44236	NA
GB44237	FBgn0004636
GB44238	NA
GB44245	NA
GB44247	FBgn0050115
GB44248	NA
GB44249	NA
GB44250	NA
GB44251	FBgn0032051
GB44252	FBgn0026401
GB44253	FBgn0029881
GB44254	FBgn0029881
GB44255	NA
GB44256	NA
GB44257	NA
GB44258	NA
GB44259	FBgn0023094
GB44260	NA
GB44261	NA
GB44262	FBgn0004167
GB44263	FBgn0263395
GB44264	NA
GB44265	NA
GB44267	NA
GB44269	NA
GB44271	FBgn0034972
GB44275	NA
GB44276	FBgn0053531
GB44277	NA
GB44278	NA
GB44279	NA
GB44280	NA
GB44281	FBgn0005648
GB44283	FBgn0037623
GB44284	NA
GB44285	NA
GB44287	FBgn0038272
GB44288	FBgn0026787
GB44289	NA
GB44291	FBgn0263352
GB44292	FBgn0005640
GB44293	NA
GB44294	NA
GB44295	FBgn0029663
GB44296	FBgn0040281
GB44297	FBgn0035590
GB44298	FBgn0032160
GB44299	FBgn0035995
GB44300	FBgn0036502
GB44301	NA
GB44302	NA
GB44303	FBgn0261111
GB44304	FBgn0027903
GB44305	NA
GB44306	FBgn0036184
GB44307	FBgn0035060
GB44308	NA
GB44309	NA
GB44310	NA
GB44311	FBgn0000042
GB44312	FBgn0036988
GB44313	FBgn0037024
GB44314	NA
GB44315	FBgn0033095
GB44316	FBgn0033095
GB44317	NA
GB44318	FBgn0013981
GB44319	FBgn0031428
GB44320	NA
GB44321	NA
GB44325	FBgn0032929
GB44326	NA
GB44327	FBgn0032699
GB44328	FBgn0085426
GB44329	FBgn0028858
GB44330	FBgn0035756
GB44331	FBgn0261641
GB44332	NA
GB44333	FBgn0034253
GB44334	FBgn0036974
GB44335	NA
GB44336	NA
GB44337	FBgn0027903
GB44338	FBgn0038304
GB44339	FBgn0053868
GB44340	FBgn0026170
GB44341	FBgn0010355
GB44342	NA
GB44343	NA
GB44344	FBgn0053120
GB44345	NA
GB44346	NA
GB44347	FBgn0032249
GB44348	NA
GB44349	FBgn0031059
GB44350	FBgn0036179
GB44351	FBgn0036179
GB44352	NA
GB44353	NA
GB44354	NA
GB44355	FBgn0036194
GB44356	FBgn0023091
GB44357	FBgn0032163
GB44358	FBgn0032163
GB44359	FBgn0033212
GB44360	FBgn0033209
GB44361	NA
GB44362	NA
GB44363	FBgn0013718
GB44364	NA
GB44365	FBgn0002723
GB44366	FBgn0001208
GB44367	FBgn0033170
GB44368	FBgn0052699
GB44369	FBgn0035057
GB44370	NA
GB44371	FBgn0026370
GB44373	NA
GB44374	NA
GB44377	NA
GB44378	NA
GB44379	NA
GB44380	NA
GB44381	NA
GB44382	NA
GB44383	FBgn0026080
GB44384	NA
GB44385	FBgn0261388
GB44386	NA
GB44387	NA
GB44388	NA
GB44392	FBgn0023526
GB44393	NA
GB44394	NA
GB44395	NA
GB44396	FBgn0039213
GB44397	NA
GB44398	FBgn0016697
GB44399	FBgn0050101
GB44400	FBgn0034266
GB44401	NA
GB44402	FBgn0004360
GB44403	NA
GB44404	FBgn0029866
GB44405	NA
GB44407	NA
GB44408	NA
GB44409	NA
GB44410	FBgn0037758
GB44411	FBgn0037760
GB44412	FBgn0037736
GB44413	FBgn0037747
GB44414	FBgn0011740
GB44415	FBgn0038877
GB44416	FBgn0037897
GB44417	FBgn0038808
GB44418	FBgn0003567
GB44419	FBgn0013726
GB44420	FBgn0010611
GB44421	FBgn0010173
GB44422	FBgn0034583
GB44423	FBgn0031640
GB44424	FBgn0262624
GB44425	FBgn0038170
GB44426	FBgn0037537
GB44427	NA
GB44428	FBgn0038251
GB44429	FBgn0260962
GB44430	FBgn0037891
GB44431	FBgn0015282
GB44432	FBgn0038951
GB44433	FBgn0027620
GB44434	FBgn0039690
GB44435	NA
GB44436	FBgn0033479
GB44437	NA
GB44438	NA
GB44439	FBgn0037573
GB44440	FBgn0039282
GB44441	NA
GB44442	FBgn0039283
GB44443	FBgn0039135
GB44444	FBgn0039698
GB44445	FBgn0031868
GB44446	NA
GB44447	NA
GB44448	NA
GB44449	FBgn0044510
GB44450	NA
GB44451	NA
GB44452	NA
GB44453	NA
GB44455	FBgn0034647
GB44456	NA
GB44457	FBgn0035484
GB44458	NA
GB44459	NA
GB44460	FBgn0030013
GB44461	FBgn0027864
GB44462	FBgn0019624
GB44463	NA
GB44464	FBgn0029502
GB44466	NA
GB44467	FBgn0032486
GB44468	NA
GB44469	NA
GB44470	NA
GB44471	NA
GB44472	FBgn0085396
GB44475	NA
GB44476	NA
GB44477	NA
GB44478	NA
GB44479	NA
GB44481	NA
GB44482	FBgn0261794
GB44483	NA
GB44484	FBgn0027932
GB44485	FBgn0027932
GB44486	FBgn0031799
GB44487	NA
GB44488	NA
GB44489	NA
GB44490	NA
GB44491	FBgn0037046
GB44492	FBgn0038876
GB44493	NA
GB44494	NA
GB44495	NA
GB44496	FBgn0028399
GB44498	NA
GB44499	FBgn0003747
GB44500	NA
GB44501	NA
GB44502	NA
GB44503	NA
GB44504	NA
GB44505	NA
GB44506	FBgn0260812
GB44507	FBgn0039451
GB44508	NA
GB44509	FBgn0026737
GB44510	FBgn0038814
GB44511	FBgn0262699
GB44512	FBgn0026196
GB44513	FBgn0005670
GB44514	FBgn0029849
GB44515	FBgn0037375
GB44516	FBgn0029175
GB44517	FBgn0027603
GB44518	FBgn0034451
GB44519	FBgn0036397
GB44520	FBgn0038834
GB44521	FBgn0035064
GB44523	FBgn0028496
GB44524	FBgn0034109
GB44525	NA
GB44526	FBgn0041789
GB44527	NA
GB44528	NA
GB44529	NA
GB44530	FBgn0039744
GB44531	FBgn0260468
GB44532	FBgn0015542
GB44533	FBgn0260462
GB44534	FBgn0031519
GB44535	FBgn0038244
GB44536	FBgn0053958
GB44537	FBgn0086347
GB44538	NA
GB44539	NA
GB44540	FBgn0003479
GB44541	FBgn0037580
GB44542	NA
GB44543	FBgn0005696
GB44544	FBgn0035849
GB44545	NA
GB44546	NA
GB44547	NA
GB44548	NA
GB44549	NA
GB44550	FBgn0016061
GB44551	NA
GB44552	FBgn0005633
GB44553	FBgn0029763
GB44554	FBgn0029763
GB44555	FBgn0039209
GB44556	FBgn0027609
GB44557	FBgn0038769
GB44558	FBgn0036691
GB44559	FBgn0261933
GB44560	NA
GB44561	NA
GB44563	NA
GB44564	FBgn0038198
GB44566	NA
GB44567	FBgn0037736
GB44570	FBgn0037447
GB44571	FBgn0031897
GB44572	FBgn0036199
GB44573	FBgn0035402
GB44574	FBgn0033677
GB44575	NA
GB44576	FBgn0035189
GB44577	NA
GB44578	NA
GB44579	FBgn0033539
GB44580	NA
GB44581	FBgn0039600
GB44582	NA
GB44583	FBgn0011288
GB44584	NA
GB44585	NA
GB44586	FBgn0038234
GB44587	FBgn0037808
GB44588	FBgn0037808
GB44589	NA
GB44590	NA
GB44592	FBgn0036376
GB44593	NA
GB44594	FBgn0004864
GB44595	FBgn0039016
GB44596	FBgn0030742
GB44597	FBgn0030365
GB44598	FBgn0263602
GB44599	FBgn0032822
GB44600	NA
GB44601	NA
GB44602	NA
GB44603	NA
GB44604	NA
GB44605	NA
GB44606	FBgn0052626
GB44607	NA
GB44608	FBgn0034645
GB44609	FBgn0038327
GB44610	FBgn0052626
GB44611	FBgn0034933
GB44612	FBgn0038533
GB44613	NA
GB44614	FBgn0260006
GB44615	FBgn0039208
GB44616	FBgn0030691
GB44618	NA
GB44619	NA
GB44620	NA
GB44621	FBgn0005777
GB44623	FBgn0250755
GB44624	NA
GB44625	NA
GB44626	FBgn0036993
GB44627	NA
GB44628	FBgn0030570
GB44629	FBgn0034408
GB44630	NA
GB44631	FBgn0030066
GB44632	NA
GB44633	NA
GB44634	FBgn0243512
GB44635	NA
GB44636	FBgn0031947
GB44637	NA
GB44638	NA
GB44639	NA
GB44640	FBgn0039882
GB44641	FBgn0039882
GB44642	NA
GB44643	FBgn0024921
GB44644	NA
GB44645	NA
GB44646	NA
GB44647	FBgn0028863
GB44648	FBgn0028863
GB44649	NA
GB44650	FBgn0002968
GB44651	FBgn0003390
GB44653	FBgn0005427
GB44654	FBgn0036549
GB44656	FBgn0000289
GB44657	NA
GB44658	FBgn0030183
GB44659	NA
GB44660	FBgn0036696
GB44661	FBgn0259173
GB44662	FBgn0040079
GB44663	FBgn0028993
GB44664	NA
GB44665	NA
GB44666	NA
GB44667	NA
GB44668	NA
GB44670	FBgn0039156
GB44671	FBgn0037778
GB44672	FBgn0037779
GB44673	FBgn0044452
GB44674	NA
GB44675	NA
GB44676	FBgn0083946
GB44677	FBgn0039128
GB44678	NA
GB44679	FBgn0027951
GB44680	FBgn0031493
GB44681	FBgn0039126
GB44682	FBgn0260990
GB44683	FBgn0250838
GB44684	FBgn0047114
GB44685	FBgn0038532
GB44686	FBgn0031254
GB44687	FBgn0017577
GB44688	NA
GB44689	FBgn0039875
GB44690	FBgn0024555
GB44691	NA
GB44692	FBgn0050342
GB44693	FBgn0034259
GB44694	FBgn0015793
GB44695	FBgn0037842
GB44696	NA
GB44697	NA
GB44698	NA
GB44699	FBgn0037739
GB44700	NA
GB44701	NA
GB44702	FBgn0039687
GB44703	NA
GB44704	FBgn0037749
GB44705	FBgn0024330
GB44706	NA
GB44707	FBgn0029121
GB44708	NA
GB44709	NA
GB44710	FBgn0037684
GB44711	FBgn0037684
GB44712	FBgn0032644
GB44713	NA
GB44714	NA
GB44715	NA
GB44717	NA
GB44718	FBgn0030683
GB44721	FBgn0035987
GB44722	NA
GB44723	NA
GB44724	NA
GB44725	NA
GB44726	FBgn0261822
GB44727	NA
GB44728	NA
GB44729	NA
GB44730	NA
GB44731	FBgn0026619
GB44732	FBgn0031816
GB44733	NA
GB44734	FBgn0026417
GB44735	NA
GB44738	NA
GB44739	FBgn0037908
GB44740	NA
GB44742	NA
GB44743	FBgn0002183
GB44744	FBgn0036101
GB44745	NA
GB44746	FBgn0039554
GB44747	FBgn0034962
GB44749	FBgn0015756
GB44750	NA
GB44751	FBgn0020762
GB44752	NA
GB44753	FBgn0033233
GB44754	NA
GB44755	NA
GB44756	FBgn0015801
GB44757	FBgn0260049
GB44758	FBgn0037327
GB44759	FBgn0021761
GB44760	FBgn0051618
GB44761	FBgn0020620
GB44762	FBgn0036621
GB44763	FBgn0052103
GB44764	FBgn0027786
GB44765	FBgn0053868
GB44766	NA
GB44767	NA
GB44768	NA
GB44769	NA
GB44770	FBgn0020762
GB44771	FBgn0020762
GB44772	FBgn0020762
GB44773	FBgn0024273
GB44774	FBgn0032076
GB44775	FBgn0029975
GB44776	NA
GB44777	FBgn0032299
GB44779	FBgn0261985
GB44780	FBgn0004915
GB44781	FBgn0262603
GB44782	FBgn0033972
GB44783	FBgn0033972
GB44785	NA
GB44786	FBgn0024956
GB44787	NA
GB44788	NA
GB44789	FBgn0034118
GB44791	FBgn0002914
GB44792	FBgn0033244
GB44793	NA
GB44794	NA
GB44795	NA
GB44796	FBgn0003090
