GB	Taxa
GB44056	Insecta
GB44058	Insecta
GB44059	Insecta
GB44060	Insecta
GB44061	Insecta
GB44062	Insecta
GB44063	Insecta
GB44064	Insecta
GB44065	Insecta
GB44066	Insecta
GB44067	Insecta
GB44069	Insecta
GB44070	Insecta
GB44071	Insecta
GB44072	Insecta
GB44073	Hymenoptera
GB44074	Insecta
GB44075	Apoidea
GB44077	Insecta
GB44078	Insecta
GB44079	Insecta
GB44080	Insecta
GB44081	Insecta
GB44082	Insecta
GB44083	Insecta
GB44084	Insecta
GB44085	Insecta
GB44086	Insecta
GB44089	Insecta
GB44090	Insecta
GB44091	Insecta
GB44092	Insecta
GB44093	Hymenoptera
GB44095	Apoidea
GB44096	Insecta
GB44097	Insecta
GB44098	Insecta
GB44099	Insecta
GB44100	Apoidea
GB44101	Insecta
GB44102	Apoidea
GB44103	Insecta
GB44104	Insecta
GB44107	Hymenoptera
GB44108	Insecta
GB44109	Insecta
GB44110	Hymenoptera
GB44111	NA
GB44112	NA
GB44113	Insecta
GB44114	Hymenoptera
GB44115	Insecta
GB44116	Insecta
GB44117	Insecta
GB44118	NA
GB44119	Insecta
GB44120	Insecta
GB44121	Insecta
GB44122	Insecta
GB44123	Insecta
GB44124	Insecta
GB44125	Insecta
GB44126	NA
GB44127	Insecta
GB44128	Insecta
GB44129	Hymenoptera
GB44130	Insecta
GB44131	Insecta
GB44132	Insecta
GB44133	Insecta
GB44134	Insecta
GB44135	Hymenoptera
GB44136	Insecta
GB44138	Insecta
GB44139	Insecta
GB44140	Insecta
GB44141	Insecta
GB44143	Insecta
GB44144	Insecta
GB44145	NA
GB44146	Insecta
GB44147	Insecta
GB44148	Insecta
GB44149	Insecta
GB44150	Hymenoptera
GB44151	NA
GB44152	Insecta
GB44153	Insecta
GB44154	Insecta
GB44155	Insecta
GB44156	Insecta
GB44157	Insecta
GB44158	Hymenoptera
GB44159	Insecta
GB44160	Insecta
GB44161	NA
GB44162	NA
GB44163	Insecta
GB44164	NA
GB44165	Insecta
GB44166	Hymenoptera
GB44167	Insecta
GB44168	Insecta
GB44169	Insecta
GB44170	Insecta
GB44171	Insecta
GB44172	Insecta
GB44173	Insecta
GB44174	Insecta
GB44175	Insecta
GB44176	Insecta
GB44177	Insecta
GB44178	Insecta
GB44179	NA
GB44180	Hymenoptera
GB44181	Insecta
GB44183	Insecta
GB44184	Insecta
GB44185	Insecta
GB44186	Insecta
GB44187	Insecta
GB44188	Insecta
GB44189	Hymenoptera
GB44190	NA
GB44191	Hymenoptera
GB44192	Insecta
GB44193	Insecta
GB44194	NA
GB44195	Apoidea
GB44197	Insecta
GB44198	Insecta
GB44199	Insecta
GB44200	Hymenoptera
GB44201	NA
GB44202	Hymenoptera
GB44203	Insecta
GB44204	Insecta
GB44205	Insecta
GB44206	Insecta
GB44207	Insecta
GB44208	Insecta
GB44209	Insecta
GB44210	Insecta
GB44211	Insecta
GB44213	Insecta
GB44215	NA
GB44216	Insecta
GB44218	Insecta
GB44219	Hymenoptera
GB44220	Insecta
GB44221	Insecta
GB44222	Insecta
GB44223	Insecta
GB44224	Hymenoptera
GB44225	Insecta
GB44228	NA
GB44229	Insecta
GB44230	Insecta
GB44232	Insecta
GB44233	Insecta
GB44237	Insecta
GB44245	NA
GB44247	Insecta
GB44248	Hymenoptera
GB44250	Hymenoptera
GB44251	Insecta
GB44252	Insecta
GB44253	Insecta
GB44254	Insecta
GB44255	NA
GB44257	Insecta
GB44259	Insecta
GB44260	NA
GB44261	Hymenoptera
GB44262	Insecta
GB44263	Insecta
GB44264	NA
GB44265	NA
GB44267	NA
GB44269	NA
GB44271	Insecta
GB44276	Insecta
GB44277	NA
GB44279	Insecta
GB44280	Insecta
GB44281	Insecta
GB44283	Insecta
GB44284	NA
GB44285	Insecta
GB44287	Insecta
GB44288	Insecta
GB44289	Insecta
GB44291	Insecta
GB44292	Insecta
GB44293	Insecta
GB44294	Insecta
GB44295	Insecta
GB44296	Insecta
GB44297	Insecta
GB44298	Insecta
GB44299	Insecta
GB44300	Insecta
GB44301	NA
GB44302	Hymenoptera
GB44303	Insecta
GB44304	Insecta
GB44305	Hymenoptera
GB44306	Insecta
GB44307	Insecta
GB44308	NA
GB44310	Hymenoptera
GB44311	Insecta
GB44312	Insecta
GB44313	Insecta
GB44315	Insecta
GB44316	Insecta
GB44317	Insecta
GB44318	Insecta
GB44319	Insecta
GB44321	Insecta
GB44325	Insecta
GB44327	Insecta
GB44328	Insecta
GB44329	Insecta
GB44330	Insecta
GB44331	Insecta
GB44332	NA
GB44333	Insecta
GB44334	Insecta
GB44336	Insecta
GB44337	Insecta
GB44338	Insecta
GB44339	Insecta
GB44340	Insecta
GB44341	Insecta
GB44342	Hymenoptera
GB44343	Hymenoptera
GB44344	Insecta
GB44345	Insecta
GB44346	Insecta
GB44347	Insecta
GB44349	Insecta
GB44350	Insecta
GB44351	Insecta
GB44352	Insecta
GB44353	Insecta
GB44354	Insecta
GB44355	Insecta
GB44356	Insecta
GB44358	Insecta
GB44359	Insecta
GB44360	Insecta
GB44361	Insecta
GB44362	Hymenoptera
GB44363	Insecta
GB44364	NA
GB44365	Insecta
GB44366	Insecta
GB44367	Insecta
GB44368	Insecta
GB44369	Insecta
GB44370	Insecta
GB44371	Insecta
GB44373	Insecta
GB44374	Insecta
GB44377	NA
GB44378	NA
GB44379	NA
GB44380	NA
GB44381	NA
GB44383	Insecta
GB44384	NA
GB44385	Insecta
GB44386	NA
GB44387	Insecta
GB44388	NA
GB44394	NA
GB44396	Insecta
GB44397	Insecta
GB44398	Insecta
GB44399	Insecta
GB44400	Insecta
GB44401	NA
GB44402	Insecta
GB44403	NA
GB44404	Insecta
GB44405	Apis
GB44407	NA
GB44408	NA
GB44410	Insecta
GB44411	Insecta
GB44412	Insecta
GB44413	Insecta
GB44414	Insecta
GB44415	Insecta
GB44416	Insecta
GB44417	Insecta
GB44418	Insecta
GB44419	Insecta
GB44420	Insecta
GB44421	Insecta
GB44422	Insecta
GB44423	Insecta
GB44424	Insecta
GB44425	Insecta
GB44426	Insecta
GB44427	Hymenoptera
GB44428	Insecta
GB44429	Insecta
GB44430	Insecta
GB44431	Insecta
GB44432	Insecta
GB44433	Insecta
GB44434	Insecta
GB44435	Apoidea
GB44436	Insecta
GB44438	Hymenoptera
GB44439	Insecta
GB44440	Insecta
GB44441	NA
GB44442	Insecta
GB44443	Insecta
GB44444	Insecta
GB44445	Insecta
GB44446	NA
GB44447	NA
GB44448	Insecta
GB44449	Insecta
GB44450	Insecta
GB44451	Hymenoptera
GB44452	Insecta
GB44453	Insecta
GB44455	Insecta
GB44456	NA
GB44457	Insecta
GB44458	NA
GB44459	NA
GB44460	Insecta
GB44461	Insecta
GB44462	Insecta
GB44464	Insecta
GB44466	NA
GB44467	Insecta
GB44469	Insecta
GB44470	NA
GB44471	NA
GB44472	Insecta
GB44476	NA
GB44477	NA
GB44478	Hymenoptera
GB44479	Hymenoptera
GB44481	NA
GB44482	Insecta
GB44483	Insecta
GB44484	Insecta
GB44485	Insecta
GB44486	Insecta
GB44487	NA
GB44488	NA
GB44489	NA
GB44490	Insecta
GB44491	Insecta
GB44492	Insecta
GB44493	Insecta
GB44494	Insecta
GB44495	Insecta
GB44496	Insecta
GB44498	Insecta
GB44499	Insecta
GB44500	Hymenoptera
GB44501	Insecta
GB44502	Hymenoptera
GB44503	Hymenoptera
GB44504	Hymenoptera
GB44505	Insecta
GB44506	Insecta
GB44507	Insecta
GB44509	Insecta
GB44510	Insecta
GB44511	Insecta
GB44512	Insecta
GB44513	Insecta
GB44514	Insecta
GB44515	Insecta
GB44516	Insecta
GB44517	Insecta
GB44518	Insecta
GB44519	Insecta
GB44520	Insecta
GB44521	Insecta
GB44523	Insecta
GB44524	Insecta
GB44526	Insecta
GB44527	Insecta
GB44528	NA
GB44529	NA
GB44530	Insecta
GB44531	Insecta
GB44532	Insecta
GB44533	Insecta
GB44534	Insecta
GB44535	Insecta
GB44536	Insecta
GB44537	Insecta
GB44538	Insecta
GB44539	Insecta
GB44540	Insecta
GB44541	Insecta
GB44542	Hymenoptera
GB44543	Insecta
GB44544	Insecta
GB44546	NA
GB44547	Hymenoptera
GB44548	Insecta
GB44549	Insecta
GB44550	Insecta
GB44551	Insecta
GB44552	Insecta
GB44553	Insecta
GB44554	Insecta
GB44555	Insecta
GB44556	Insecta
GB44557	Insecta
GB44558	Insecta
GB44559	Insecta
GB44560	Hymenoptera
GB44561	Hymenoptera
GB44563	NA
GB44564	Insecta
GB44566	Hymenoptera
GB44567	Insecta
GB44570	Insecta
GB44572	Insecta
GB44573	Insecta
GB44574	Insecta
GB44575	Insecta
GB44576	Insecta
GB44577	Insecta
GB44578	Hymenoptera
GB44579	Insecta
GB44580	Insecta
GB44581	Insecta
GB44582	Insecta
GB44583	Insecta
GB44585	Insecta
GB44586	Insecta
GB44587	Insecta
GB44588	Insecta
GB44589	NA
GB44590	Hymenoptera
GB44592	Insecta
GB44594	Insecta
GB44595	Insecta
GB44596	Insecta
GB44597	Insecta
GB44598	Insecta
GB44600	Insecta
GB44601	Insecta
GB44602	Hymenoptera
GB44603	NA
GB44604	Hymenoptera
GB44606	Insecta
GB44607	Apoidea
GB44608	Insecta
GB44609	Insecta
GB44611	Insecta
GB44612	Insecta
GB44613	NA
GB44614	Insecta
GB44615	Insecta
GB44616	Insecta
GB44618	NA
GB44620	NA
GB44621	Insecta
GB44623	Insecta
GB44624	Insecta
GB44626	Insecta
GB44627	NA
GB44628	Insecta
GB44629	Insecta
GB44630	NA
GB44631	Insecta
GB44632	NA
GB44633	Hymenoptera
GB44634	Insecta
GB44635	NA
GB44636	Insecta
GB44637	NA
GB44638	Insecta
GB44639	Hymenoptera
GB44640	Insecta
GB44641	Insecta
GB44642	Insecta
GB44643	Insecta
GB44645	Hymenoptera
GB44646	Insecta
GB44647	Insecta
GB44648	Insecta
GB44649	Insecta
GB44650	Insecta
GB44651	Insecta
GB44653	Insecta
GB44654	Insecta
GB44656	Insecta
GB44659	Insecta
GB44660	Insecta
GB44661	Insecta
GB44662	Insecta
GB44663	Insecta
GB44664	NA
GB44665	NA
GB44668	NA
GB44670	Insecta
GB44671	Insecta
GB44672	Insecta
GB44673	Insecta
GB44674	Insecta
GB44676	Insecta
GB44677	Insecta
GB44678	Insecta
GB44679	Insecta
GB44680	Insecta
GB44681	Insecta
GB44682	Insecta
GB44683	Insecta
GB44684	Insecta
GB44685	Insecta
GB44686	Insecta
GB44687	Insecta
GB44688	Insecta
GB44689	Insecta
GB44690	Insecta
GB44692	Insecta
GB44693	Insecta
GB44694	Insecta
GB44695	Insecta
GB44697	Insecta
GB44698	Hymenoptera
GB44699	Insecta
GB44700	Insecta
GB44701	Insecta
GB44702	Insecta
GB44703	Insecta
GB44704	Insecta
GB44705	Insecta
GB44706	NA
GB44707	Insecta
GB44708	Hymenoptera
GB44709	Hymenoptera
GB44710	Insecta
GB44711	Insecta
GB44712	Insecta
GB44713	NA
GB44714	Apoidea
GB44717	NA
GB44718	Insecta
GB44721	Insecta
GB44722	Apoidea
GB44723	Insecta
GB44725	Hymenoptera
GB44726	Insecta
GB44727	NA
GB44728	NA
GB44730	NA
GB44731	Insecta
GB44732	Insecta
GB44734	Insecta
GB44735	Hymenoptera
GB44738	NA
GB44739	Insecta
GB44740	Hymenoptera
GB44742	Insecta
GB44743	Insecta
GB44744	Insecta
GB44745	Insecta
GB44746	Insecta
GB44747	Insecta
GB44749	Insecta
GB44751	Insecta
GB44753	Insecta
GB44754	NA
GB44755	Insecta
GB44756	Insecta
GB44757	Insecta
GB44758	Insecta
GB44759	Insecta
GB44760	Insecta
GB44761	Insecta
GB44762	Insecta
GB44763	Insecta
GB44764	Insecta
GB44765	Insecta
GB44766	Insecta
GB44768	Insecta
GB44769	Insecta
GB44770	Insecta
GB44771	Insecta
GB44772	Insecta
GB44773	Insecta
GB44774	Insecta
GB44775	Insecta
GB44776	Insecta
GB44777	Insecta
GB44779	Insecta
GB44780	Insecta
GB44781	Insecta
GB44782	Insecta
GB44783	Insecta
GB44785	NA
GB44786	Insecta
GB44787	Insecta
GB44789	Insecta
GB44791	Insecta
GB44792	Insecta
GB44793	Hymenoptera
GB44795	NA
GB44796	Insecta
GB44797	NA
GB44798	Insecta
GB44799	Insecta
GB44800	Insecta
GB44802	Hymenoptera
GB44803	Insecta
GB44804	Insecta
GB44805	NA
GB44808	Insecta
GB44810	Insecta
GB44811	Insecta
GB44812	NA
GB44826	Insecta
GB44828	Insecta
GB44829	Insecta
GB44830	Insecta
GB44831	Insecta
GB44832	Insecta
GB44834	NA
GB44835	NA
GB44836	Insecta
GB44837	Hymenoptera
GB44838	Insecta
GB44841	Insecta
GB44842	Insecta
GB44845	NA
GB44847	Hymenoptera
GB44848	Insecta
GB44849	Insecta
GB44850	Insecta
GB44851	NA
GB44852	NA
GB44853	NA
GB44854	NA
GB44855	NA
GB44856	NA
GB44857	NA
GB44858	NA
GB44859	NA
GB44860	NA
GB44861	Hymenoptera
GB44862	Insecta
GB44863	Insecta
GB44865	Insecta
GB44867	Insecta
GB44868	Insecta
GB44869	Insecta
GB44870	Insecta
GB44871	Insecta
GB44873	Insecta
GB44875	NA
GB44876	Insecta
GB44877	Insecta
GB44878	Insecta
GB44879	Insecta
GB44880	Insecta
GB44881	Insecta
GB44882	Insecta
GB44883	Insecta
GB44884	Insecta
GB44885	Insecta
GB44886	Hymenoptera
GB44888	Insecta
GB44889	Insecta
GB44890	Insecta
GB44891	Insecta
GB44892	Apoidea
GB44893	Hymenoptera
GB44894	Insecta
GB44895	Insecta
GB44896	Insecta
GB44897	Insecta
GB44898	Insecta
GB44899	Insecta
GB44900	Insecta
GB44901	Insecta
GB44902	Insecta
GB44903	Insecta
GB44904	Insecta
GB44905	Insecta
GB44906	Insecta
GB44907	Insecta
GB44909	Insecta
GB44910	Insecta
GB44911	NA
GB44912	Insecta
GB44913	Insecta
GB44914	Insecta
GB44915	NA
GB44917	Insecta
GB44918	Insecta
GB44920	NA
GB44921	NA
GB44922	NA
GB44923	NA
GB44924	NA
GB44926	Insecta
GB44927	Insecta
GB44928	Insecta
GB44929	Hymenoptera
GB44930	Insecta
GB44931	Insecta
GB44932	Insecta
GB44933	Insecta
GB44934	Insecta
GB44935	Insecta
GB44936	Insecta
GB44937	Insecta
GB44938	Insecta
GB44939	Insecta
GB44940	Insecta
GB44941	Insecta
GB44942	Insecta
GB44943	Insecta
GB44944	Insecta
GB44945	Apoidea
GB44946	Insecta
GB44947	Insecta
GB44948	Insecta
GB44949	Insecta
GB44950	Insecta
GB44954	NA
GB44955	NA
GB44959	Hymenoptera
GB44960	Insecta
GB44961	Insecta
GB44962	Insecta
GB44963	NA
GB44964	Insecta
GB44966	Insecta
GB44967	Insecta
GB44968	Insecta
GB44969	Insecta
GB44970	Insecta
GB44971	Insecta
GB44972	Insecta
GB44973	Insecta
GB44974	Insecta
GB44975	NA
GB44976	Insecta
GB44977	Insecta
GB44978	Insecta
GB44980	Insecta
GB44981	Insecta
GB44982	Insecta
GB44983	Insecta
GB44984	Insecta
GB44985	Hymenoptera
GB44986	Hymenoptera
GB44987	Hymenoptera
GB44988	Hymenoptera
GB44989	Apis
GB44990	Insecta
GB44991	Insecta
GB44992	Insecta
GB44993	NA
GB44994	Insecta
GB44995	Apoidea
GB44996	Hymenoptera
GB44997	Insecta
GB44998	Insecta
GB44999	Insecta
GB45000	Insecta
GB45001	Insecta
GB45004	NA
GB45005	Insecta
GB45008	Insecta
GB45009	Insecta
GB45010	Hymenoptera
GB45011	Insecta
GB45012	Insecta
GB45013	Insecta
GB45014	Insecta
GB45015	Apoidea
GB45017	Insecta
GB45018	Insecta
GB45019	NA
GB45020	Insecta
GB45023	Insecta
GB45024	Insecta
GB45025	Insecta
GB45027	NA
GB45028	Insecta
GB45029	Insecta
GB45032	NA
GB45033	NA
GB45034	Insecta
GB45035	Insecta
GB45036	Insecta
GB45037	Insecta
GB45038	Insecta
GB45039	Insecta
GB45040	Insecta
GB45041	Insecta
GB45042	Insecta
GB45044	Insecta
GB45046	Insecta
GB45047	Insecta
GB45048	Insecta
GB45049	Insecta
GB45050	Insecta
GB45051	Insecta
GB45052	Insecta
GB45053	Insecta
GB45054	Insecta
GB45055	Insecta
GB45056	Hymenoptera
GB45057	Hymenoptera
GB45058	Insecta
GB45060	NA
GB45061	NA
GB45062	Insecta
GB45063	Insecta
GB45064	Insecta
GB45065	Hymenoptera
GB45066	NA
GB45067	Insecta
GB45069	Hymenoptera
GB45070	Insecta
GB45071	Insecta
GB45072	Hymenoptera
GB45073	Insecta
GB45074	Insecta
GB45075	Insecta
GB45076	Insecta
GB45077	Insecta
GB45078	Insecta
GB45079	Hymenoptera
GB45080	Insecta
GB45081	Hymenoptera
GB45082	Insecta
GB45083	Insecta
GB45084	Insecta
GB45085	Insecta
GB45086	Insecta
GB45087	Insecta
GB45088	Hymenoptera
GB45089	NA
GB45091	Insecta
GB45092	Insecta
GB45093	NA
GB45094	Insecta
GB45095	Insecta
GB45096	Insecta
GB45098	Insecta
GB45099	Insecta
GB45100	NA
GB45101	Insecta
GB45102	Insecta
GB45103	NA
GB45105	Insecta
GB45106	Insecta
GB45107	Insecta
GB45108	NA
GB45110	Insecta
GB45111	Insecta
GB45112	NA
GB45113	Insecta
GB45114	Insecta
GB45117	NA
GB45119	Insecta
GB45120	Insecta
GB45122	Insecta
GB45123	Insecta
GB45125	Insecta
GB45126	Insecta
GB45127	Insecta
GB45128	Insecta
GB45129	NA
GB45130	NA
GB45131	Insecta
GB45133	Insecta
GB45134	Insecta
GB45135	Insecta
GB45137	Insecta
GB45138	Insecta
GB45139	Hymenoptera
GB45140	Insecta
GB45141	Hymenoptera
GB45142	Insecta
GB45143	Insecta
GB45144	NA
GB45145	Insecta
GB45146	Insecta
GB45147	Insecta
GB45148	Insecta
GB45150	Insecta
GB45151	Insecta
GB45152	Insecta
GB45153	Insecta
GB45154	Insecta
GB45155	Insecta
GB45156	Insecta
GB45157	Insecta
GB45158	Insecta
GB45159	Insecta
GB45160	NA
GB45161	NA
GB45162	NA
GB45164	NA
GB45165	NA
GB45166	NA
GB45169	Apis
GB45170	Hymenoptera
GB45171	Insecta
GB45172	Insecta
GB45173	Insecta
GB45174	Insecta
GB45175	Insecta
GB45179	Insecta
GB45180	Hymenoptera
GB45181	Insecta
GB45182	NA
GB45183	Insecta
GB45184	Insecta
GB45185	Insecta
GB45186	Apoidea
GB45187	Insecta
GB45188	Insecta
GB45189	Insecta
GB45190	NA
GB45191	NA
GB45192	Insecta
GB45193	Insecta
GB45194	Insecta
GB45195	Insecta
GB45196	NA
GB45197	Insecta
GB45198	NA
GB45199	Insecta
GB45201	NA
GB45202	Insecta
GB45205	NA
GB45207	Insecta
GB45208	Insecta
GB45209	NA
GB45211	Insecta
GB45212	Insecta
GB45213	Insecta
GB45214	Insecta
GB45215	Insecta
GB45216	Insecta
GB45218	Insecta
GB45220	Insecta
GB45221	Insecta
GB45223	Insecta
GB45224	Hymenoptera
GB45225	Insecta
GB45227	Insecta
GB45228	Insecta
GB45229	Insecta
GB45230	Insecta
GB45232	NA
GB45233	NA
GB45235	Insecta
GB45236	NA
GB45237	NA
GB45238	NA
GB45239	Hymenoptera
GB45240	NA
GB45241	NA
GB45242	NA
GB45243	NA
GB45244	NA
GB45246	NA
GB45247	Insecta
GB45248	Insecta
GB45249	Hymenoptera
GB45250	Insecta
GB45251	Insecta
GB45252	Insecta
GB45254	Insecta
GB45255	Insecta
GB45256	Insecta
GB45257	Insecta
GB45258	Insecta
GB45259	Insecta
GB45260	Insecta
GB45261	Insecta
GB45263	Insecta
GB45264	Insecta
GB45265	Insecta
GB45266	Insecta
GB45267	Insecta
GB45269	NA
GB45270	Insecta
GB45271	NA
GB45272	Insecta
GB45273	Insecta
GB45274	Insecta
GB45275	Insecta
GB45277	Insecta
GB45278	Insecta
GB45279	Insecta
GB45280	Insecta
GB45281	Insecta
GB45282	Insecta
GB45283	Insecta
GB45284	Insecta
GB45285	Insecta
GB45286	Insecta
GB45287	Insecta
GB45288	Insecta
GB45291	NA
GB45292	Insecta
GB45293	Hymenoptera
GB45294	Insecta
GB45295	Insecta
GB45296	Insecta
GB45297	Insecta
GB45298	Insecta
GB45299	NA
GB45300	Insecta
GB45303	Insecta
GB45304	Insecta
GB45305	Insecta
GB45306	Insecta
GB45307	Insecta
GB45311	NA
GB45312	Insecta
GB45313	Insecta
GB45314	Insecta
GB45315	Insecta
GB45316	Insecta
GB45317	Insecta
GB45318	Insecta
GB45319	NA
GB45320	NA
GB45321	NA
GB45324	Insecta
GB45325	NA
GB45332	NA
GB45334	Insecta
GB45335	Insecta
GB45336	Hymenoptera
GB45337	Insecta
GB45339	NA
GB45340	Insecta
GB45341	Insecta
GB45342	Insecta
GB45343	Insecta
GB45344	Insecta
GB45345	Insecta
GB45348	Insecta
GB45349	Insecta
GB45350	Insecta
GB45351	Insecta
GB45352	Hymenoptera
GB45353	NA
GB45354	Insecta
GB45355	Insecta
GB45356	Insecta
GB45357	Insecta
GB45358	Insecta
GB45359	Hymenoptera
GB45360	Insecta
GB45361	Insecta
GB45362	Insecta
GB45363	Insecta
GB45364	Insecta
GB45365	Insecta
GB45366	Insecta
GB45367	Insecta
GB45368	Insecta
GB45369	Insecta
GB45370	Insecta
GB45371	NA
GB45372	Insecta
GB45373	Insecta
GB45374	Insecta
GB45375	Insecta
GB45376	Insecta
GB45377	Insecta
GB45378	Insecta
GB45380	Insecta
GB45381	Insecta
GB45382	Insecta
GB45383	NA
GB45386	NA
GB45387	Insecta
GB45388	Hymenoptera
GB45389	Insecta
GB45390	Hymenoptera
GB45391	Insecta
GB45392	Insecta
GB45393	Insecta
GB45394	Insecta
GB45395	Insecta
GB45396	Hymenoptera
GB45397	Insecta
GB45399	Insecta
GB45400	Insecta
GB45401	NA
GB45402	NA
GB45403	Insecta
GB45404	Insecta
GB45405	Hymenoptera
GB45406	Insecta
GB45408	Insecta
GB45410	NA
GB45411	Hymenoptera
GB45413	Insecta
GB45414	Insecta
GB45415	Insecta
GB45416	Insecta
GB45417	Insecta
GB45418	Insecta
GB45419	Insecta
GB45420	Insecta
GB45421	Insecta
GB45422	Insecta
GB45423	Insecta
GB45424	Insecta
GB45425	Insecta
GB45426	Insecta
GB45427	Insecta
GB45429	Insecta
GB45430	NA
GB45431	Insecta
GB45432	Hymenoptera
GB45433	Insecta
GB45434	Insecta
GB45435	Insecta
GB45436	Insecta
GB45437	Insecta
GB45438	NA
GB45439	NA
GB45440	Insecta
GB45441	Insecta
GB45442	Hymenoptera
GB45443	Insecta
GB45444	Insecta
GB45445	Insecta
GB45446	Insecta
GB45448	NA
GB45449	Insecta
GB45450	Hymenoptera
GB45451	Insecta
GB45452	Insecta
GB45453	Insecta
GB45454	Insecta
GB45455	Hymenoptera
GB45456	Insecta
GB45457	Insecta
GB45458	Insecta
GB45459	Insecta
GB45460	NA
GB45462	Insecta
GB45463	Insecta
GB45464	Hymenoptera
GB45466	Hymenoptera
GB45467	NA
GB45468	NA
GB45469	Hymenoptera
GB45471	NA
GB45472	Hymenoptera
GB45474	Insecta
GB45476	Insecta
GB45477	Insecta
GB45478	Insecta
GB45479	Insecta
GB45486	Insecta
GB45487	Insecta
GB45490	Insecta
GB45491	Insecta
GB45492	Insecta
GB45493	Insecta
GB45495	Insecta
GB45497	Insecta
GB45498	Insecta
GB45499	Insecta
GB45500	Hymenoptera
GB45501	Insecta
GB45502	Hymenoptera
GB45503	Insecta
GB45504	Insecta
GB45505	Insecta
GB45507	Insecta
GB45508	Insecta
GB45509	Insecta
GB45510	Insecta
GB45511	Insecta
GB45512	Insecta
GB45513	Apoidea
GB45514	Insecta
GB45515	Insecta
GB45516	NA
GB45517	Insecta
GB45518	Insecta
GB45521	NA
GB45523	Insecta
GB45525	Hymenoptera
GB45526	Insecta
GB45527	Insecta
GB45528	Insecta
GB45529	NA
GB45530	Insecta
GB45532	Insecta
GB45534	Insecta
GB45535	Insecta
GB45536	Insecta
GB45537	Insecta
GB45538	Insecta
GB45540	Insecta
GB45541	NA
GB45542	Insecta
GB45543	Insecta
GB45544	Insecta
GB45545	Insecta
GB45546	Insecta
GB45547	Insecta
GB45548	Insecta
GB45549	Insecta
GB45551	Insecta
GB45552	Hymenoptera
GB45553	Insecta
GB45554	Insecta
GB45555	Insecta
GB45557	Insecta
GB45558	Insecta
GB45559	Hymenoptera
GB45560	Insecta
GB45561	Insecta
GB45562	Insecta
GB45563	NA
GB45564	Hymenoptera
GB45565	Insecta
GB45566	Insecta
GB45567	Insecta
GB45568	Insecta
GB45569	Insecta
GB45581	Insecta
GB45582	Insecta
GB45583	Insecta
GB45593	Insecta
GB45594	NA
GB45595	NA
GB45596	Insecta
GB45597	Insecta
GB45602	Insecta
GB45608	NA
GB45609	Insecta
GB45610	Insecta
GB45611	NA
GB45612	Insecta
GB45613	Insecta
GB45615	Insecta
GB45616	Hymenoptera
GB45617	Hymenoptera
GB45618	Insecta
GB45619	NA
GB45622	NA
GB45623	Insecta
GB45624	Insecta
GB45625	Apoidea
GB45626	NA
GB45627	Insecta
GB45628	Insecta
GB45629	Insecta
GB45632	Insecta
GB45633	Insecta
GB45634	Insecta
GB45635	Insecta
GB45636	Insecta
GB45638	Insecta
GB45639	Insecta
GB45640	Insecta
GB45642	NA
GB45644	NA
GB45645	Insecta
GB45646	Insecta
GB45648	Insecta
GB45649	Insecta
GB45651	Insecta
GB45652	NA
GB45653	Insecta
GB45654	Insecta
GB45655	Insecta
GB45656	Insecta
GB45657	Insecta
GB45658	Insecta
GB45659	Hymenoptera
GB45660	Insecta
GB45661	Insecta
GB45662	Insecta
GB45663	Insecta
GB45664	Insecta
GB45665	Insecta
GB45666	Insecta
GB45667	Insecta
GB45670	Insecta
GB45673	Insecta
GB45674	Insecta
GB45675	NA
GB45676	NA
GB45678	Insecta
GB45679	Insecta
GB45680	Insecta
GB45681	Insecta
GB45682	Insecta
GB45683	Insecta
GB45684	Insecta
GB45685	Insecta
GB45686	Insecta
GB45688	Insecta
GB45689	Insecta
GB45690	Insecta
GB45691	Insecta
GB45692	Insecta
GB45693	Insecta
GB45694	Insecta
GB45695	Insecta
GB45696	Insecta
GB45697	Insecta
GB45698	Insecta
GB45699	Insecta
GB45700	Insecta
GB45701	Insecta
GB45702	Insecta
GB45703	Insecta
GB45704	Insecta
GB45706	NA
GB45709	Insecta
GB45710	Hymenoptera
GB45711	NA
GB45712	Insecta
GB45713	Hymenoptera
GB45715	Insecta
GB45716	Insecta
GB45717	Insecta
GB45718	NA
GB45719	Insecta
GB45720	Insecta
GB45721	NA
GB45722	Insecta
GB45724	Insecta
GB45725	NA
GB45726	Insecta
GB45727	Insecta
GB45728	Insecta
GB45730	Insecta
GB45731	Insecta
GB45732	Insecta
GB45733	Insecta
GB45734	Insecta
GB45735	Insecta
GB45736	Insecta
GB45737	Insecta
GB45738	Insecta
GB45739	Insecta
GB45740	Insecta
GB45741	Insecta
GB45742	Insecta
GB45748	Insecta
GB45749	Insecta
GB45750	NA
GB45751	NA
GB45753	Insecta
GB45754	NA
GB45755	Insecta
GB45756	Hymenoptera
GB45757	Insecta
GB45758	Insecta
GB45759	Insecta
GB45760	Insecta
GB45761	Insecta
GB45762	Insecta
GB45763	Hymenoptera
GB45764	Insecta
GB45765	NA
GB45766	NA
GB45767	NA
GB45768	NA
GB45769	NA
GB45770	NA
GB45771	NA
GB45772	NA
GB45773	NA
GB45774	Insecta
GB45775	Insecta
GB45776	Hymenoptera
GB45777	Insecta
GB45778	Hymenoptera
GB45784	NA
GB45785	NA
GB45786	NA
GB45787	Insecta
GB45788	Insecta
GB45791	NA
GB45793	NA
